traj,pulso,t,lat,lon,p_hPa,theta_K,AOD
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 18:00:00,-19.787384489113467,-55.81472275299924,947.4155201141983,304.72882288226543,0.1041981765854464
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 17:00:00,-19.690310803068325,-55.85669613021093,951.7403944039283,304.5963450192559,0.10517020783678474
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 16:00:00,-19.580107282023693,-55.88910544827039,955.6480230034457,304.3485043225045,0.10588188512823435
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 15:00:00,-19.455224848971756,-55.91285176098948,959.6349181978046,304.03282452699887,0.1045675138312925
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 14:00:00,-19.31341267084456,-55.92702963408143,963.4373112804979,303.68594295629316,0.09940904109782127
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 13:00:00,-19.150921686939334,-55.92905160675831,967.0369346290852,303.2717330260734,0.0927948518893463
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 12:00:00,-18.969315272471288,-55.9110662054271,970.2269330345702,302.7617677449461,0.08449590264216297
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 11:00:00,-18.79066050972124,-55.8732167141409,972.5825196091663,302.65453016523463,0.06585126020024867
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 10:00:00,-18.63448613502391,-55.82422016610884,974.1393384735636,303.0373719749568,0.04904816762692966
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 09:00:00,-18.499403877949778,-55.76853042592751,975.322125622925,303.3981350095903,0.03547088122762922
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 08:00:00,-18.384216837640434,-55.70653421531532,976.5706959640244,303.7420537431798,0.024905638647006387
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 07:00:00,-18.28929173855797,-55.637171744319794,978.1520441796288,304.03966309543597,0.01663597598825927
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 06:00:00,-18.212847567797343,-55.55905991699758,980.1738625255434,304.26822249969297,0.009985190684551908
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 05:00:00,-18.149777633842966,-55.47643928488552,982.5735646612989,304.4888841499384,0.008698617781833472
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 04:00:00,-18.096607481234642,-55.39410698695468,984.2133600668237,304.83402183140083,0.007851474036442369
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 03:00:00,-18.048698457394817,-55.31129139281071,984.9320375721804,305.31215886552053,0.007064977644957389
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 02:00:00,-18.00180429271331,-55.228476517644516,984.7393316228777,305.8714426948887,0.006321863396479479
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 01:00:00,-17.956343256265665,-55.15157492711979,983.6754393825665,306.3343536031479,0.00567888677530054
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 00:00:00,-17.9129977138748,-55.0832127891798,981.6992481658954,306.7621963812189,0.005080144765970718
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 23:00:00,-17.863151677189197,-55.02612639376324,978.7338842119487,306.99964226071035,0.004809703018327031
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 22:00:00,-17.797925218554003,-54.98028207726335,974.4889411539765,307.07228413490463,0.004534753007607584
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 21:00:00,-17.715311240819794,-54.94212201299291,969.1557989598582,307.18972045212826,0.004251038864470543
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 20:00:00,-17.614810207914783,-54.9076440050574,962.680336881778,307.31915058639674,0.00395490281044917
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 19:00:00,-17.493753738685456,-54.873820827278294,954.8463354873301,307.4634262157117,0.003641657728671371
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 18:00:00,-17.351185045419566,-54.83593336404078,945.6775721864061,307.6305028528476,0.0033059532716624073
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 17:00:00,-17.18201558375499,-54.77672943550855,935.7300255357062,307.4230613939583,0.0035803842894195454
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 16:00:00,-16.985894823281775,-54.68012951920074,927.0123082982717,306.8964972916391,0.0038848919177717637
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 15:00:00,-16.774825759101493,-54.56426656936022,926.2621161217695,306.30159635802045,0.004144728243540163
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 14:00:00,-16.570094182314257,-54.45084970961114,932.0399005119713,305.56837903713824,0.004342881028194055
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 13:00:00,-16.3742646589582,-54.34238079921502,933.521098570544,304.87800230141005,0.004535465269560304
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 12:00:00,-16.168973433010947,-54.23447705167479,931.9326445311182,304.40768258672273,0.004664393338384611
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 11:00:00,-15.960394136260978,-54.120839731161176,926.388321195466,304.31666927848477,0.007011177634035647
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 10:00:00,-15.771447598121082,-53.99866261878077,916.9082012947227,304.4767326723285,0.009140715857753733
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 09:00:00,-15.608324231076876,-53.8666935516512,911.1402946436505,304.52637163731964,0.011309178881139253
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 08:00:00,-15.461234924275772,-53.73498514349791,912.5489906564808,304.7119564720355,0.013210101334507273
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 07:00:00,-15.317495119938075,-53.60134853501844,914.4364051890434,305.1081141081144,0.014846095466312345
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 06:00:00,-15.171343076224444,-53.46207906196694,913.8693719827362,305.5933368476877,0.016194905525684256
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 05:00:00,-15.030565121711403,-53.31969866357754,914.6369363074533,305.82963825113063,0.015975197840001173
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 04:00:00,-14.900790972762017,-53.16807519752161,916.5545341920384,305.9995008228343,0.015978179941101515
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 03:00:00,-14.785094002331823,-53.01280166276703,915.8098420686815,306.1795395330556,0.015941910588962254
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 02:00:00,-14.684450998706268,-52.84932486742678,913.5726969250821,306.35980298710086,0.01568643236784579
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 01:00:00,-14.592410538306073,-52.67857932112393,911.865163310934,306.5317079536927,0.015228515111719965
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-08 00:00:00,-14.506635225638776,-52.505467568690804,912.2828296700981,306.69125591685344,0.01459953572554294
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 23:00:00,-14.427518033434152,-52.33498450334403,913.5821370759679,306.8518932068185,0.014283347544908278
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 22:00:00,-14.357672140184729,-52.16965551410402,914.8345852845409,306.997457015592,0.013868815823541093
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 21:00:00,-14.293098474395308,-52.00876801868448,915.6203343888662,307.07565096752376,0.013349479700505849
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 20:00:00,-14.234040325975977,-51.85604592376769,915.6966268965533,307.1247966803436,0.012752582276577749
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 19:00:00,-14.179613681301815,-51.713403716693115,915.3160662408908,307.1921049765392,0.012191025042132769
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 18:00:00,-14.129122992249151,-51.578135981474404,914.4851932335928,307.3148547918405,0.011756798714911348
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 17:00:00,-14.082713211511363,-51.44451182724193,913.893761153957,307.26806957864994,0.011927693944766397
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 16:00:00,-14.040834898204322,-51.30459400638875,914.752373074652,306.9487003941932,0.012070028555211198
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 15:00:00,-14.000156280240214,-51.15752299543426,917.315211854194,306.5939010818299,0.01217991129501156
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 14:00:00,-13.958384834485717,-51.00331101463481,919.5643701522246,306.1805085666534,0.012258873342380332
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 13:00:00,-13.915137588205496,-50.83397414162757,921.9279283126947,305.75737745657284,0.012458467255970869
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 12:00:00,-13.8720614198455,-50.634220901678816,924.7480147516302,305.28359159087194,0.01235732398033563
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 11:00:00,-13.84095159166556,-50.413629427316295,927.8363981587357,305.0709717742868,0.01462689735077913
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 10:00:00,-13.828855791339807,-50.18613700652262,930.0741720646346,305.03591788120906,0.01688384281665501
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 09:00:00,-13.830218043910007,-49.93824439174397,932.2909869908706,305.1103605141061,0.018992761097302274
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 08:00:00,-13.83515282982367,-49.675492871968906,932.8329368278244,305.2761184704171,0.020818529907971457
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 07:00:00,-13.848455031366562,-49.400131828329926,931.2958729252607,305.5168323305497,0.022407343461249504
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 06:00:00,-13.877962112526964,-49.13804953686975,926.3200282394026,305.65066869227803,0.023846500681943064
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 05:00:00,-13.940369181647194,-48.89879727766949,918.3722385228086,305.8420140819639,0.02272289142825288
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 04:00:00,-14.008644278538096,-48.67460933318667,914.6806406841149,305.88834902384815,0.021863777353474254
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 03:00:00,-14.068896275695181,-48.461240608878114,910.8515329728589,305.8725329906753,0.02118902726396528
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 02:00:00,-14.12670677933373,-48.23234222293789,910.0925077748474,306.1207792045598,0.020422741811248615
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 01:00:00,-14.188198141987888,-48.01187603817887,905.7490131264797,306.1567867835114,0.019613402345962847
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-07 00:00:00,-14.233831029998845,-47.802223804856915,890.5575957976681,306.27686228002034,0.0194139852240432
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 23:00:00,-14.290176862961383,-47.55273051327925,871.5191420334417,306.59166321378524,0.018903578279483888
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 22:00:00,-14.350283990007844,-47.303667366197125,882.1924675973831,306.44536283708993,0.01840208057912462
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 21:00:00,-14.401369021614657,-47.116871582848226,894.7803116939201,306.38672886238305,0.018209956683679192
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 20:00:00,-14.450296634127472,-46.94896828077852,901.0508641753153,306.81266648757577,0.018071575285730952
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 19:00:00,-14.491922779297576,-46.77423244579738,901.1577678082591,307.05017666635104,0.017917771893188883
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 18:00:00,-14.52715436851273,-46.59439519002147,895.082309910366,307.3103359091554,0.017748288879186603
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 17:00:00,-14.561955669786602,-46.39883946415987,882.0697685720959,307.11784333071444,0.018746372288425045
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 16:00:00,-14.598668777882365,-46.178489170305745,876.7869786605428,306.17292527880255,0.019605871505384564
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 15:00:00,-14.63839105907919,-45.943135315246955,875.7536269377772,305.3208490030668,0.020129728410502985
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 14:00:00,-14.675738300110629,-45.69675452114735,876.4657402723058,304.50545449559013,0.02029534827514008
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 13:00:00,-14.70215874784982,-45.4422386039042,880.1744609541316,303.7756386396608,0.02015684310160202
