T_bin,refl39_med,re_proxy_med,celula,metade,quando,n,valido_re,pulso
-60.0,0.029690634031847758,7.5268611466865405,C7,frente,2024-05-01 1800UT,17,1,P1
-55.0,0.0325991923133379,6.98297456358693,C7,frente,2024-05-01 1800UT,17,1,P1
-50.0,0.02613430449053653,8.398515348724011,C7,frente,2024-05-01 1800UT,23,1,P1
-45.0,0.02861269267417074,7.764547266885225,C7,frente,2024-05-01 1800UT,22,1,P1
-65.0,0.03149275700636808,7.174504808714751,C7,traseira,2024-05-01 1800UT,7,1,P1
-60.0,0.02750147606685418,8.032561704689105,C7,traseira,2024-05-01 1800UT,35,1,P1
-55.0,0.027421067938864625,8.054485484217633,C7,traseira,2024-05-01 1800UT,18,1,P1
-50.0,0.036286472984868166,6.458377669938893,C7,traseira,2024-05-01 1800UT,7,1,P1
-65.0,0.0287076247367022,7.742569679865313,C10,frente,2024-05-01 1800UT,39,1,P1
-60.0,0.02663040392994507,8.260879865214221,C10,frente,2024-05-01 1800UT,186,1,P1
-55.0,0.023113814161402145,9.371248743245797,C10,frente,2024-05-01 1800UT,118,1,P1
-50.0,0.019752490110593202,10.7843531485987,C10,frente,2024-05-01 1800UT,95,1,P1
-45.0,0.019175946440952666,11.06904861049862,C10,frente,2024-05-01 1800UT,70,1,P1
-60.0,0.02881171065309403,7.718883977998035,C10,traseira,2024-05-01 1800UT,35,1,P1
-55.0,0.02942916024549485,7.582524376829925,C10,traseira,2024-05-01 1800UT,177,1,P1
-50.0,0.024824801387463222,8.790430262957306,C10,traseira,2024-05-01 1800UT,126,1,P1
-45.0,0.023655439527490052,9.178326277927509,C10,traseira,2024-05-01 1800UT,99,1,P1
-60.0,0.034862319483130885,6.642242812948947,C11,frente,2024-05-01 1900UT,26,1,P1
-55.0,0.03898804677865063,6.164585322932194,C11,frente,2024-05-01 1900UT,32,1,P1
-50.0,0.07018350708666139,5.086777144317649,C11,frente,2024-05-01 1900UT,24,1,P1
-45.0,0.08926419330985505,5.017772122305392,C11,frente,2024-05-01 1900UT,8,1,P1
-65.0,0.03813588781072186,6.250085736416616,C11,traseira,2024-05-01 1900UT,8,1,P1
-60.0,0.037317478373063845,6.3383098571778556,C11,traseira,2024-05-01 1900UT,27,1,P1
-55.0,0.0360720890015315,6.4846661985525245,C11,traseira,2024-05-01 1900UT,21,1,P1
-50.0,0.04656042019969142,5.639183689274236,C11,traseira,2024-05-01 1900UT,12,1,P1
-45.0,0.035249368088752786,6.6367692970786845,C11,traseira,2024-05-01 1900UT,14,1,P1
-70.0,0.0371340926611576,6.358919177132828,C2,frente,2024-05-01 1900UT,8098,1,P1
-65.0,0.032052507133888866,7.075402529253644,C2,frente,2024-05-01 1900UT,5492,1,P1
-60.0,0.028195957709890626,7.862038803364973,C2,frente,2024-05-01 1900UT,4433,1,P1
-55.0,0.031202540874098662,7.22773963207454,C2,frente,2024-05-01 1900UT,2124,1,P1
-50.0,0.03393967296745361,6.77338704195054,C2,frente,2024-05-01 1900UT,1763,1,P1
-45.0,0.03844956036931863,6.2178260596074795,C2,frente,2024-05-01 1900UT,1411,1,P1
-70.0,0.024906763767122593,8.764570336928573,C2,traseira,2024-05-01 1900UT,1447,1,P1
-65.0,0.02397710466131456,9.067812259742505,C2,traseira,2024-05-01 1900UT,4602,1,P1
-60.0,0.02500459183326976,8.73400504824195,C2,traseira,2024-05-01 1900UT,5590,1,P1
-55.0,0.0267550225779339,8.22719121891778,C2,traseira,2024-05-01 1900UT,5864,1,P1
-50.0,0.02591294781684019,8.461787463397792,C2,traseira,2024-05-01 1900UT,10209,1,P1
-45.0,0.02827841166263679,7.84244067707517,C2,traseira,2024-05-01 1900UT,7351,1,P1
-60.0,0.024309374466526423,8.956739833007813,C7,frente,2024-05-01 1900UT,22,1,P1
-55.0,0.02309604922074754,9.37771375017656,C7,frente,2024-05-01 1900UT,21,1,P1
-50.0,0.022632567842468025,9.55010387083161,C7,frente,2024-05-01 1900UT,15,1,P1
-45.0,0.020753940395460666,10.321851911086036,C7,frente,2024-05-01 1900UT,24,1,P1
-60.0,0.024474341576835052,8.902708740856795,C7,traseira,2024-05-01 1900UT,28,1,P1
-55.0,0.024385220558091142,8.932042660834634,C7,traseira,2024-05-01 1900UT,8,1,P1
-50.0,0.02629449425362566,8.353449532336558,C7,traseira,2024-05-01 1900UT,27,1,P1
-45.0,0.0221830160184071,9.724721328029723,C7,traseira,2024-05-01 1900UT,18,1,P1
-70.0,0.03173356747809769,7.131360382334716,C12,inteira,2024-05-01 1900UT,74,1,P1
-65.0,0.02740281854489365,8.058075473347067,C12,inteira,2024-05-01 1900UT,66,1,P1
