T_bin,refl39_med,re_proxy_med,celula,metade,quando,n,valido_re,onda
-55.0,0.01400758430272576,14.336194146604463,C16,inteira,2024-05-06 1400UT,1982,1,O2_surto_06-08mai
-50.0,0.019490844843898025,10.911858868596244,C16,inteira,2024-05-06 1400UT,545,1,O2_surto_06-08mai
-45.0,0.025566883440158884,8.563131175909573,C16,inteira,2024-05-06 1400UT,232,1,O2_surto_06-08mai
-40.0,0.016837991401489824,12.37452594513855,C16,inteira,2024-05-06 1400UT,22,1,O2_surto_06-08mai
-60.0,0.017450206596432895,12.00772770939383,C17,inteira,2024-05-06 1400UT,431,1,O2_surto_06-08mai
-55.0,0.01745228435846192,12.006514448554306,C17,inteira,2024-05-06 1400UT,1317,1,O2_surto_06-08mai
-50.0,0.01831709986698308,11.51933510349507,C17,inteira,2024-05-06 1400UT,1025,1,O2_surto_06-08mai
-45.0,0.019213876896230473,11.049895345586386,C17,inteira,2024-05-06 1400UT,105,1,O2_surto_06-08mai
-60.0,0.01342643276407516,14.799466915375216,C18,inteira,2024-05-06 1400UT,66,1,O2_surto_06-08mai
-55.0,0.01425718997899045,14.144002654080904,C18,inteira,2024-05-06 1400UT,499,1,O2_surto_06-08mai
-50.0,0.017538862057106478,11.956145709400046,C18,inteira,2024-05-06 1400UT,107,1,O2_surto_06-08mai
-45.0,0.018105106813983533,11.635529578481965,C18,inteira,2024-05-06 1400UT,11,1,O2_surto_06-08mai
-60.0,0.013470839052158455,14.76327073570187,C19,inteira,2024-05-06 1400UT,25,1,O2_surto_06-08mai
-55.0,0.014451589744504788,13.997063573355309,C19,inteira,2024-05-06 1400UT,560,1,O2_surto_06-08mai
-50.0,0.018045230820823745,11.668739220042808,C19,inteira,2024-05-06 1400UT,18,1,O2_surto_06-08mai
-45.0,0.017947064780764237,11.723498639500011,C19,inteira,2024-05-06 1400UT,5,1,O2_surto_06-08mai
-65.0,0.027631409882376806,8.000214794289011,C20,inteira,2024-05-06 1500UT,12,1,O2_surto_06-08mai
-60.0,0.02505929172300904,8.717022971488882,C20,inteira,2024-05-06 1500UT,37,1,O2_surto_06-08mai
-55.0,0.0233029959038857,9.302864898600486,C20,inteira,2024-05-06 1500UT,97,1,O2_surto_06-08mai
-50.0,0.018351714025139597,11.500557091198143,C20,inteira,2024-05-06 1500UT,61,1,O2_surto_06-08mai
-45.0,0.01920399885476839,11.054877488969591,C20,inteira,2024-05-06 1500UT,57,1,O2_surto_06-08mai
-40.0,0.01885555973363764,11.233267896142987,C20,inteira,2024-05-06 1500UT,45,1,O2_surto_06-08mai
-35.0,0.01744916707125049,12.008334794807254,C20,inteira,2024-05-06 1500UT,61,1,O2_surto_06-08mai
-30.0,0.01980875700119094,10.757294339153312,C20,inteira,2024-05-06 1500UT,61,1,O2_surto_06-08mai
-25.0,0.03969768120978216,6.097524600606274,C20,inteira,2024-05-06 1500UT,33,1,O2_surto_06-08mai
-20.0,0.06009383376614055,5.200563956342249,C20,inteira,2024-05-06 1500UT,21,1,O2_surto_06-08mai
-15.0,0.0699386876799985,5.088298991593372,C20,inteira,2024-05-06 1500UT,27,1,O2_surto_06-08mai
-65.0,0.01859382666864698,11.370715754073437,C9,frente,2024-05-06 1500UT,2614,1,O2_surto_06-08mai
-60.0,0.0167046651610583,12.456916206253561,C9,frente,2024-05-06 1500UT,6395,1,O2_surto_06-08mai
-55.0,0.01571996338888552,13.094626387677597,C9,frente,2024-05-06 1500UT,4132,1,O2_surto_06-08mai
-50.0,0.018267469113418377,11.546354232465907,C9,frente,2024-05-06 1500UT,1116,1,O2_surto_06-08mai
-45.0,0.02115316578680866,10.147117322117204,C9,frente,2024-05-06 1500UT,462,1,O2_surto_06-08mai
-40.0,0.03418017436440288,6.738283208232669,C9,frente,2024-05-06 1500UT,140,1,O2_surto_06-08mai
-35.0,0.04803747096055376,5.547763243354261,C9,frente,2024-05-06 1500UT,76,1,O2_surto_06-08mai
-30.0,0.06634889846467146,5.119186209407318,C9,frente,2024-05-06 1500UT,6,1,O2_surto_06-08mai
-70.0,0.01727141945423931,12.112917001667247,C9,traseira,2024-05-06 1500UT,2037,1,O2_surto_06-08mai
-65.0,0.019351080821348877,10.98111730566729,C9,traseira,2024-05-06 1500UT,3852,1,O2_surto_06-08mai
-60.0,0.017958656365568766,11.717007108246829,C9,traseira,2024-05-06 1500UT,3369,1,O2_surto_06-08mai
-55.0,0.016532818031834828,12.564471969594207,C9,traseira,2024-05-06 1500UT,3195,1,O2_surto_06-08mai
-50.0,0.015913771635676255,12.96494330960876,C9,traseira,2024-05-06 1500UT,1106,1,O2_surto_06-08mai
-45.0,0.016657427415810735,12.486359523088147,C9,traseira,2024-05-06 1500UT,404,1,O2_surto_06-08mai
-40.0,0.02154503837742286,9.981731477620716,C9,traseira,2024-05-06 1500UT,195,1,O2_surto_06-08mai
-35.0,0.032145815779758835,7.059331633954473,C9,traseira,2024-05-06 1500UT,86,1,O2_surto_06-08mai
-30.0,0.04220962654617098,5.890233494596472,C9,traseira,2024-05-06 1500UT,59,1,O2_surto_06-08mai
-25.0,0.06022282705360361,5.198419552223889,C9,traseira,2024-05-06 1500UT,73,1,O2_surto_06-08mai
-20.0,0.06993553792702768,5.088681290999629,C9,traseira,2024-05-06 1500UT,62,1,O2_surto_06-08mai
-15.0,0.0750093674146702,5.057868433316498,C9,traseira,2024-05-06 1500UT,77,1,O2_surto_06-08mai
-60.0,0.018719646953429443,11.304267608299497,C21,inteira,2024-05-06 1500UT,37,1,O2_surto_06-08mai
-55.0,0.015318400173424092,13.37008495070345,C21,inteira,2024-05-06 1500UT,73,1,O2_surto_06-08mai
-50.0,0.014251432743557908,14.148398030036589,C21,inteira,2024-05-06 1500UT,136,1,O2_surto_06-08mai
-45.0,0.018258277059638655,11.551432231109379,C21,inteira,2024-05-06 1500UT,50,1,O2_surto_06-08mai
-40.0,0.016466820130691874,12.60618985775187,C21,inteira,2024-05-06 1500UT,51,1,O2_surto_06-08mai
